Angle (deg),Gain (dBi)
-180.0,5.11
-179.0,4.94
-178.0,4.48
-177.0,3.72
-176.0,2.61
-175.0,1.11
-174.0,-0.87
-173.0,-3.51
-172.0,-7.18
-171.0,-12.92
-170.0,-27.54
-169.0,-19.35
-168.0,-13.18
-167.0,-10.71
-166.0,-9.73
-165.0,-9.7
-164.0,-10.44
-163.0,-11.95
-162.0,-14.38
-161.0,-18.22
-160.0,-25.26
-159.0,-41.83
-158.0,-24.28
-157.0,-19.84
-156.0,-17.8
-155.0,-16.93
-154.0,-16.87
-153.0,-17.46
-152.0,-18.71
-151.0,-20.7
-150.0,-23.73
-149.0,-28.78
-148.0,-41.96
-147.0,-34.5
-146.0,-27.31
-145.0,-23.86
-144.0,-21.8
-143.0,-20.53
-142.0,-19.81
-141.0,-19.56
-140.0,-19.77
-139.0,-20.49
-138.0,-21.83
-137.0,-24.11
-136.0,-28.17
-135.0,-38.32
-134.0,-35.2
-133.0,-26.33
-132.0,-22.04
-131.0,-19.29
-130.0,-17.37
-129.0,-16.0
-128.0,-15.06
-127.0,-14.46
-126.0,-14.18
-125.0,-14.18
-124.0,-14.48
-123.0,-15.09
-122.0,-16.08
-121.0,-17.54
-120.0,-19.67
-119.0,-22.98
-118.0,-29.13
-117.0,-49.57
-116.0,-27.33
-115.0,-21.58
-114.0,-18.16
-113.0,-15.75
-112.0,-13.92
-111.0,-12.47
-110.0,-11.3
-109.0,-10.33
-108.0,-9.52
-107.0,-8.85
-106.0,-8.28
-105.0,-7.8
-104.0,-7.39
-103.0,-7.04
-102.0,-6.73
-101.0,-6.47
-100.0,-6.24
-99.0,-6.04
-98.0,-5.85
-97.0,-5.67
-96.0,-5.5
-95.0,-5.33
-94.0,-5.16
-93.0,-4.98
-92.0,-4.79
-91.0,-4.59
-90.0,-4.37
-89.0,-4.14
-88.0,-3.9
-87.0,-3.64
-86.0,-3.38
-85.0,-3.11
-84.0,-2.83
-83.0,-2.56
-82.0,-2.29
-81.0,-2.04
-80.0,-1.8
-79.0,-1.59
-78.0,-1.41
-77.0,-1.27
-76.0,-1.17
-75.0,-1.14
-74.0,-1.18
-73.0,-1.31
-72.0,-1.55
-71.0,-1.91
-70.0,-2.44
-69.0,-3.17
-68.0,-4.17
-67.0,-5.55
-66.0,-7.51
-65.0,-10.49
-64.0,-15.78
-63.0,-37.57
-62.0,-16.67
-61.0,-10.06
-60.0,-6.29
-59.0,-3.68
-58.0,-1.75
-57.0,-0.28
-56.0,0.82
-55.0,1.61
-54.0,2.11
-53.0,2.33
-52.0,2.25
-51.0,1.82
-50.0,0.99
-49.0,-0.4
-48.0,-2.61
-47.0,-6.36
-46.0,-14.67
-45.0,-17.24
-44.0,-6.53
-43.0,-1.93
-42.0,0.89
-41.0,2.75
-40.0,3.96
-39.0,4.64
-38.0,4.81
-37.0,4.46
-36.0,3.48
-35.0,1.65
-34.0,-1.64
-33.0,-8.76
-32.0,-16.22
-31.0,-3.11
-30.0,1.82
-29.0,4.69
-28.0,6.47
-27.0,7.49
-26.0,7.84
-25.0,7.51
-24.0,6.38
-23.0,4.07
-22.0,-0.62
-21.0,-18.43
-20.0,-2.1
-19.0,4.71
-18.0,8.32
-17.0,10.54
-16.0,11.85
-15.0,12.4
-14.0,12.2
-13.0,11.05
-12.0,8.43
-11.0,2.11
-10.0,-6.2
-9.0,8.3
-8.0,13.93
-7.0,17.51
-6.0,20.06
-5.0,21.96
-4.0,23.39
-3.0,24.44
-2.0,25.16
-1.0,25.58
0.0,25.72
1.0,25.59
2.0,25.17
3.0,24.46
4.0,23.42
5.0,22.0
6.0,20.1
7.0,17.55
8.0,13.99
9.0,8.36
10.0,-6.13
11.0,2.19
12.0,8.51
13.0,11.15
14.0,12.3
15.0,12.51
16.0,11.96
17.0,10.66
18.0,8.45
19.0,4.84
20.0,-1.96
21.0,-18.27
22.0,-0.46
23.0,4.24
24.0,6.56
25.0,7.69
26.0,8.02
27.0,7.68
28.0,6.68
29.0,4.9
30.0,2.04
31.0,-2.88
32.0,-15.99
33.0,-8.52
34.0,-1.4
35.0,1.91
36.0,3.75
37.0,4.73
38.0,5.09
39.0,4.92
40.0,4.26
41.0,3.06
42.0,1.2
43.0,-1.61
44.0,-6.2
45.0,-16.9
46.0,-14.32
47.0,-6.0
48.0,-2.24
49.0,-0.02
50.0,1.37
51.0,2.21
52.0,2.65
53.0,2.74
54.0,2.53
55.0,2.04
56.0,1.26
57.0,0.17
58.0,-1.29
59.0,-3.21
60.0,-5.81
61.0,-9.57
62.0,-16.17
63.0,-37.06
64.0,-15.26
65.0,-9.95
66.0,-6.97
67.0,-4.99
68.0,-3.6
69.0,-2.58
70.0,-1.84
71.0,-1.3
72.0,-0.92
73.0,-0.67
74.0,-0.53
75.0,-0.47
76.0,-0.49
77.0,-0.56
78.0,-0.69
79.0,-0.85
80.0,-1.05
81.0,-1.27
82.0,-1.51
83.0,-1.75
84.0,-2.01
85.0,-2.26
86.0,-2.51
87.0,-2.75
88.0,-2.99
89.0,-3.21
90.0,-3.41
91.0,-3.6
92.0,-3.78
93.0,-3.95
94.0,-4.11
95.0,-4.25
96.0,-4.4
97.0,-4.54
98.0,-4.69
99.0,-4.85
100.0,-5.02
101.0,-5.22
102.0,-5.45
103.0,-5.72
104.0,-6.03
105.0,-6.41
106.0,-6.86
107.0,-7.39
108.0,-8.03
109.0,-8.79
110.0,-9.72
111.0,-10.85
112.0,-12.25
113.0,-14.03
114.0,-16.39
115.0,-19.77
116.0,-25.46
117.0,-47.64
118.0,-27.14
119.0,-20.93
120.0,-17.55
121.0,-15.34
122.0,-13.8
123.0,-12.73
124.0,-12.03
125.0,-11.63
126.0,-11.53
127.0,-11.7
128.0,-12.18
129.0,-13.0
130.0,-14.23
131.0,-16.0
132.0,-18.6
133.0,-22.73
134.0,-31.43
135.0,-34.37
136.0,-24.03
137.0,-19.79
138.0,-17.32
139.0,-15.8
140.0,-14.91
141.0,-14.56
142.0,-14.68
143.0,-15.31
144.0,-16.54
145.0,-18.61
146.0,-22.12
147.0,-29.42
148.0,-37.05
149.0,-24.07
150.0,-19.26
151.0,-16.48
152.0,-14.77
153.0,-13.8
154.0,-13.48
155.0,-13.82
156.0,-14.94
157.0,-17.24
158.0,-21.9
159.0,-39.66
160.0,-23.29
161.0,-16.43
162.0,-12.77
163.0,-10.49
164.0,-9.12
165.0,-8.51
166.0,-8.66
167.0,-9.75
168.0,-12.33
169.0,-18.59
170.0,-26.87
171.0,-12.33
172.0,-6.67
173.0,-3.07
174.0,-0.5
175.0,1.42
176.0,2.85
177.0,3.89
178.0,4.6
179.0,5.0
180.0,5.11
